captured: linux Debian GNU/Linux 13 (trixie) aarch64 · container · 2026-09-06 · euid 0 · leg-hash dd4cae6837a4
== action=list
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
C=BE, O=GlobalSign nv-sa, CN=GlobalSign Root R46|C=BE, O=GlobalSign nv-sa, CN=GlobalSign Root R46|53A2B04BCA6BD645E6398A8EC40DD2BF77C3A290|2019-03-20|2046-03-20|11D2BBB9D723189E405F0A9D2DD0DF2567D1|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
CN=Atos TrustedRoot Root CA RSA TLS 2021, O=Atos, C=DE|CN=Atos TrustedRoot Root CA RSA TLS 2021, O=Atos, C=DE|18523B0D0637E4D63ADF23E498FB5B16FB867448|2021-04-22|2041-04-17|53D5CFE619930BFB2B0512D8C22AA2A4|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
OU=GlobalSign ECC Root CA - R4, O=GlobalSign, CN=GlobalSign|OU=GlobalSign ECC Root CA - R4, O=GlobalSign, CN=GlobalSign|6BA0B098E171EF5AADFE4815807710F4BD6F0B28|2012-11-13|2038-01-19|0203E57EF53F93FDA50921B2A6|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=NO, O=Buypass AS-983163327, CN=Buypass Class 3 Root CA|C=NO, O=Buypass AS-983163327, CN=Buypass Class 3 Root CA|DAFAF7FA6684EC068F1450BDC7C281A5BCA96457|2010-10-26|2040-10-26|02|/etc/ssl/certs|Certificate Sign, CRL Sign
C=GR, L=Athens, O=Hellenic Academic and Research Institutions Cert. Authority, CN=Hellenic Academic and Research Institutions RootCA 2015|C=GR, L=Athens, O=Hellenic Academic and Research Institutions Cert. Authority, CN=Hellenic Academic and Research Institutions RootCA 2015|010C0695A6981914FFBF5FC6B0B695EA29E912A6|2015-07-07|2040-06-30|00|/etc/ssl/certs|Certificate Sign, CRL Sign
C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign Root CA - G1|C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign Root CA - G1|8AC7AD8F73AC4EC1B5754DA540F4FCCF7CB58E8C|2018-02-18|2043-02-18|31F5E4620C6C58EDD6D8|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=CommScope, CN=CommScope Public Trust ECC Root-01|C=US, O=CommScope, CN=CommScope Public Trust ECC Root-01|0786C0D8DD8EC080980698D0587AEFDEA6CCA25D|2021-04-28|2046-04-28|43708277CF4D5D34F1CAAE322F37F7F47F75A09E|/etc/ssl/certs|Certificate Sign, CRL Sign
C=JP, O=SECOM Trust Systems CO.,LTD., OU=Security Communication RootCA2|C=JP, O=SECOM Trust Systems CO.,LTD., OU=Security Communication RootCA2|5F3B8CF2F810B37D78B4CEEC1919C37334B9C774|2009-05-29|2029-05-29|00|/etc/ssl/certs|Certificate Sign, CRL Sign
CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|93057A8815C64FCE882FFA9116522878BC536417|2011-05-05|2030-12-31|5EC3B7A6437FA4E0|/etc/ssl/certs|Certificate Sign, CRL Sign
C=ES, O=Firmaprofesional SA, organizationIdentifier=VATES-A62634068, CN=FIRMAPROFESIONAL CA ROOT-A WEB|C=ES, O=Firmaprofesional SA, organizationIdentifier=VATES-A62634068, CN=FIRMAPROFESIONAL CA ROOT-A WEB|A8311174A614150DCA77DD0EE40C5D58FCA072A5|2022-04-06|2047-03-31|319721EDAF89427F354187A167564C6D|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Internet Security Research Group, CN=ISRG Root X1|C=US, O=Internet Security Research Group, CN=ISRG Root X1|CABD2A79A1076A31F21D253635CB039D4329A5E8|2015-06-04|2035-06-04|8210CFB0D240E3594463E0BB63828B00|/etc/ssl/certs|Certificate Sign, CRL Sign
OU=GlobalSign Root CA - R6, O=GlobalSign, CN=GlobalSign|OU=GlobalSign Root CA - R6, O=GlobalSign, CN=GlobalSign|8094640EB5A7A1CA119C1FDDD59F810263A7FBD1|2014-12-10|2034-12-10|45E6BB038333C3856548E6FF4551|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global ECC P384 Certification Authority|C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global ECC P384 Certification Authority|E7F3A3C8CF6FC3042E6D0E6732C59E68950D5ED2|2017-08-23|2042-08-23|08BD85976C9927A48068473B|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV Root CA|C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV Root CA|5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25|2006-11-10|2031-11-10|02AC5C266A0B409B8F0B79F2AE462577|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 1 G3|C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 1 G3|1B8EEA5796291AC939EAB80A811A7373C0937967|2012-01-12|2042-01-12|78585F2EAD2C194BE3370735341328B596D46593|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=SSL Corporation, CN=SSL.com TLS RSA Root CA 2022|C=US, O=SSL Corporation, CN=SSL.com TLS RSA Root CA 2022|EC2C834072AF269510FF0EF203EE3170F6789DCA|2022-08-25|2046-08-19|6FBEDAAD73BD0840E28B4DBED4F75B91|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
CN=Atos TrustedRoot Root CA ECC TLS 2021, O=Atos, C=DE|CN=Atos TrustedRoot Root CA ECC TLS 2021, O=Atos, C=DE|9EBC751042B302F381F4F73062D48FC3A751B2DD|2021-04-22|2041-04-17|3D983BA6663D9063F77E26573804EF00|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=US, O=CommScope, CN=CommScope Public Trust RSA Root-01|C=US, O=CommScope, CN=CommScope Public Trust RSA Root-01|6D0A5FF7B42306B485B3B79764FCAC75F533F293|2021-04-28|2046-04-28|3E034981751674318E4CABD5C5902996C53910DD|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Assured ID Root G3|C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Assured ID Root G3|F517A24F9A48C6C9F8A200269FDC0F482CAB3089|2013-08-01|2038-01-15|0BA15AFA1DDFA0B54944AFCD24A06CEC|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global Certification Authority|C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global Certification Authority|2F8F364FE1589744215987A52A9AD06995267FB5|2017-08-23|2042-08-23|05F70E86DA49F346352EBAB2|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Amazon, CN=Amazon Root CA 3|C=US, O=Amazon, CN=Amazon Root CA 3|0D44DD8C3C8C1A1A58756481E90F2E2AFFB3D26E|2015-05-26|2040-05-26|066C9FD5749736663F3B0B9AD9E89E7603F24A|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=ES, O=FNMT-RCM, OU=AC RAIZ FNMT-RCM|C=ES, O=FNMT-RCM, OU=AC RAIZ FNMT-RCM|EC503507B215C4956219E2A89A5B42992C4C2C20|2008-10-29|2030-01-01|5D938D306736C8061D1AC754846907|/etc/ssl/certs|Certificate Sign, CRL Sign
C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Root Certification Authority|C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Root Certification Authority|CF9E876DD3EBFC422697A3B5A37AA076A9062348|2008-08-28|2030-12-31|01|/etc/ssl/certs|Certificate Sign, CRL Sign
CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|93057A8815C64FCE882FFA9116522878BC536417|2011-05-05|2030-12-31|5EC3B7A6437FA4E0|/etc/ssl/certs|Certificate Sign, CRL Sign
C=DE, O=D-Trust GmbH, CN=D-TRUST Root Class 3 CA 2 2009|C=DE, O=D-Trust GmbH, CN=D-TRUST Root Class 3 CA 2 2009|58E8ABB0361533FB80F79B1B6D29D3FF8D5F00F0|2009-11-05|2029-11-05|0983F3|/etc/ssl/certs|Certificate Sign, CRL Sign
C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS RSA Root CA 2021|C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS RSA Root CA 2021|022D0582FA88CE140C0679DE7F1410E945D7A56D|2021-02-19|2045-02-13|39CA931CEF43F3C68E93C7F46489387E|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=US, O=Internet Security Research Group, CN=ISRG Root X2|C=US, O=Internet Security Research Group, CN=ISRG Root X2|BDB1B93CD5978D45C6261455F8DB95C75AD153AF|2020-09-04|2040-09-17|41D29DD172EAEEA780C12C6CE92F8752|/etc/ssl/certs|Certificate Sign, CRL Sign
C=PL, O=Asseco Data Systems S.A., OU=Certum Certification Authority, CN=Certum EC-384 CA|C=PL, O=Asseco Data Systems S.A., OU=Certum Certification Authority, CN=Certum EC-384 CA|F33E783CACDFF4A2CCAC67556956D7E5163CE1ED|2018-03-26|2043-03-26|788F275C81125220A504D02DDDBA73F4|/etc/ssl/certs|Certificate Sign, CRL Sign
O=TeliaSonera, CN=TeliaSonera Root CA v1|O=TeliaSonera, CN=TeliaSonera Root CA v1|4313BB96F1D5869BC14E6A92F6CFF63469878237|2007-10-18|2032-10-18|95BE16A0F72E46F17B398272FA8BCD96|/etc/ssl/certs|Certificate Sign, CRL Sign
C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 3 G3|C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 3 G3|4812BD923CA8C43906E7306D2796E6A4CF222E7D|2012-01-12|2042-01-12|2EF59B0228A7DB7AFFD5A3A9EEBD03A0CF126A1D|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=AffirmTrust, CN=AffirmTrust Premium|C=US, O=AffirmTrust, CN=AffirmTrust Premium|D8A6332CE0036FB185F6634F7D6A066526322827|2010-01-29|2040-12-31|6D8C1446B1A60AEE|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=CommScope, CN=CommScope Public Trust RSA Root-02|C=US, O=CommScope, CN=CommScope Public Trust RSA Root-02|EAB0E2521B89934C1168F2D89AAC224CA38A57AE|2021-04-28|2046-04-28|5416BF3B7E3995718DD1AA00A5860D2B8F7A054E|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, ST=New Jersey, L=Jersey City, O=The USERTRUST Network, CN=USERTrust ECC Certification Authority|C=US, ST=New Jersey, L=Jersey City, O=The USERTRUST Network, CN=USERTrust ECC Certification Authority|D1CBCA5DB2D52A7F693B674DE5F05A1D0C957DF0|2010-02-01|2038-01-18|5C8B99C55A94C5D27156DECD8980CC26|/etc/ssl/certs|Certificate Sign, CRL Sign
C=HU, L=Budapest, O=Microsec Ltd., organizationIdentifier=VATHU-23584497, CN=e-Szigno Root CA 2017|C=HU, L=Budapest, O=Microsec Ltd., organizationIdentifier=VATHU-23584497, CN=e-Szigno Root CA 2017|89D483034F9E9A48805F7237D4A9A6EFCB7C1FD1|2017-08-22|2042-08-22|015448EF21FD97590DF5040A|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, OU=www.xrampsecurity.com, O=XRamp Security Services Inc, CN=XRamp Global Certification Authority|C=US, OU=www.xrampsecurity.com, O=XRamp Security Services Inc, CN=XRamp Global Certification Authority|B80186D1EB9C86A54104CF3054F34C52B7E558C6|2004-11-01|2035-01-01|50946CEC18EAD59C4DD597EF758FA0AD|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=GB, ST=Greater Manchester, L=Salford, O=Comodo CA Limited, CN=AAA Certificate Services|C=GB, ST=Greater Manchester, L=Salford, O=Comodo CA Limited, CN=AAA Certificate Services|D1EB23A46D17D68FD92564C2F1F1601764D8E349|2004-01-01|2028-12-31|01|/etc/ssl/certs|Certificate Sign, CRL Sign
C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Global Root CA|C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Global Root CA|9CBB4853F6A4F6D352A4E83252556013F5ADAF65|2012-06-27|2030-12-31|0CBE|/etc/ssl/certs|Certificate Sign, CRL Sign
serialNumber=G63287510, C=ES, O=ANF Autoridad de Certificacion, OU=ANF CA Raiz, CN=ANF Secure Server Root CA|serialNumber=G63287510, C=ES, O=ANF Autoridad de Certificacion, OU=ANF CA Raiz, CN=ANF Secure Server Root CA|5B6E68D0CC15B6A05F1EC15FAE02FC6B2F5D6F74|2019-09-04|2039-08-30|0DD3E3BC6CF96BB1|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication Root E46|C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication Root E46|EC8A396C40F02EBC4275D49FAB1C1A5B67BED29A|2021-03-22|2046-03-21|42F2CCDA1B6937445F15FE752810B8F4|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=TW, O=Chunghwa Telecom Co., Ltd., OU=ePKI Root Certification Authority|C=TW, O=Chunghwa Telecom Co., Ltd., OU=ePKI Root Certification Authority|67650DF17E8E7E5B8240A4F4564BCFE23D69C6F0|2004-12-20|2034-12-20|15C8BD65475CAFB897005EE406D2BC9D|/etc/ssl/certs|(none)
C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication Root R46|C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication Root R46|AD98F9F3E47D753B65D482B3A45217BB6EF5E438|2021-03-22|2046-03-21|758DFD8BAE7C0700FAA925A7E1C7AD14|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=US, O=Amazon, CN=Amazon Root CA 4|C=US, O=Amazon, CN=Amazon Root CA 4|F6108407D6F8BB67980CC2E244C2EBAE1CEF63BE|2015-05-26|2040-05-26|066C9FD7C1BB104C2943E5717B7B2CC81AC10E|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=CN, O=iTrusChina Co.,Ltd., CN=vTrus ECC Root CA|C=CN, O=iTrusChina Co.,Ltd., CN=vTrus ECC Root CA|F69CDBB0FCF60213B65232A6A3913F1670DAC3E1|2018-07-31|2043-07-31|6E6ABC59AA53BE983967A2D26BA43BE66D1CD6DA|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=AffirmTrust, CN=AffirmTrust Premium ECC|C=US, O=AffirmTrust, CN=AffirmTrust Premium ECC|B8236B002F1D16865301556C11A437CAEBFFC3BB|2010-01-29|2040-12-31|7497258AC73F7A54|/etc/ssl/certs|Certificate Sign, CRL Sign
C=IT, L=Milan, O=Actalis S.p.A./03358520967, CN=Actalis Authentication Root CA|C=IT, L=Milan, O=Actalis S.p.A./03358520967, CN=Actalis Authentication Root CA|F373B387065A28848AF2F34ACE192BDDC78E9CAC|2011-09-22|2030-09-22|570A119742C4E3CC|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Amazon, CN=Amazon Root CA 1|C=US, O=Amazon, CN=Amazon Root CA 1|8DA7F965EC5EFC37910F1C6E59FDC1CC6A6EDE16|2015-05-26|2038-01-17|066C9FCF99BF8C0A39E2F0788A43E696365BCA|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=JP, O=Cybertrust Japan Co., Ltd., CN=SecureSign Root CA12|C=JP, O=Cybertrust Japan Co., Ltd., CN=SecureSign Root CA12|7A221E3DDE1B06AC9EC84770168E3CE5F76B06F4|2020-04-08|2040-04-08|66F9C7C1AFECC251B4ED5397E6E682C32B1C9016|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=SSL Corporation, CN=SSL.com TLS ECC Root CA 2022|C=US, O=SSL Corporation, CN=SSL.com TLS ECC Root CA 2022|9F5FD91A546DF50C71F0EE7ABD1749988473E239|2022-08-25|2046-08-19|1403F5ABFB378B17405BE243B2A5D1C4|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority|C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority|AD7E1C28B064EF8F6003402014C3D0E3370EB58A|2004-06-29|2034-06-29|00|/etc/ssl/certs|(none)
C=DE, O=D-Trust GmbH, CN=D-TRUST EV Root CA 2 2023|C=DE, O=D-Trust GmbH, CN=D-TRUST EV Root CA 2 2023|A55BD8476C8F19F74CF46D6BB6C2798222DF548B|2023-05-09|2038-05-09|6926097E804B4CA0A78C7862535F5A6F|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=CommScope, CN=CommScope Public Trust ECC Root-02|C=US, O=CommScope, CN=CommScope Public Trust ECC Root-02|3C3FEF570FFE6593869EA0FEB0F6ED8ED113C7E5|2021-04-28|2046-04-28|28FD99604147A6013ACA147B1FEFF96808835D7D|/etc/ssl/certs|Certificate Sign, CRL Sign
C=CN, O=BEIJING CERTIFICATE AUTHORITY, CN=BJCA Global Root CA1|C=CN, O=BEIJING CERTIFICATE AUTHORITY, CN=BJCA Global Root CA1|D5EC8D7B4CBA79F4E7E8CB9D6BAE77831003216A|2019-12-19|2044-12-12|556F65E3B4D9906A1B09D16C3EC06C20|/etc/ssl/certs|Certificate Sign, CRL Sign
C=GR, L=Athens, O=Hellenic Academic and Research Institutions Cert. Authority, CN=Hellenic Academic and Research Institutions ECC RootCA 2015|C=GR, L=Athens, O=Hellenic Academic and Research Institutions Cert. Authority, CN=Hellenic Academic and Research Institutions ECC RootCA 2015|9FF1718D92D59AF37D7497B4BC6F84680BBAB666|2015-07-07|2040-06-30|00|/etc/ssl/certs|Certificate Sign, CRL Sign
C=HU, L=Budapest, O=NetLock Kft., OU=Tanúsítványkiadók (Certification Services), CN=NetLock Arany (Class Gold) Főtanúsítvány|C=HU, L=Budapest, O=NetLock Kft., OU=Tanúsítványkiadók (Certification Services), CN=NetLock Arany (Class Gold) Főtanúsítvány|06083F593F15A104A069A46BA903D006B7970991|2008-12-11|2028-12-06|49412CE40010|/etc/ssl/certs|Certificate Sign, CRL Sign
C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 3|C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 3|55A6723ECBF2ECCDC3237470199D2ABE11E381D1|2008-10-01|2033-10-01|01|/etc/ssl/certs|Certificate Sign, CRL Sign
C=PL, O=Krajowa Izba Rozliczeniowa S.A., CN=SZAFIR ROOT CA2|C=PL, O=Krajowa Izba Rozliczeniowa S.A., CN=SZAFIR ROOT CA2|E252FA953FEDDB2460BD6E28F39CCCCF5EB33FDE|2015-10-19|2035-10-19|3E8A5D07EC55D232D5B7E3B65F01EB2DDCE4D6E4|/etc/ssl/certs|Certificate Sign, CRL Sign
C=CN, O=iTrusChina Co.,Ltd., CN=vTrus Root CA|C=CN, O=iTrusChina Co.,Ltd., CN=vTrus Root CA|841A69FBF5CD1A2534133DE3F8FCB899D0C914B7|2018-07-31|2043-07-31|43E37113D8B359145DB7CE8CFD35FD6FBC058D45|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=IdenTrust, CN=IdenTrust Commercial Root CA 1|C=US, O=IdenTrust, CN=IdenTrust Commercial Root CA 1|DF717EAA4AD94EC9558499602D48DE5FBCF03A25|2014-01-16|2034-01-16|0A0142800000014523C844B500000002|/etc/ssl/certs|Certificate Sign, CRL Sign
C=CN, O=BEIJING CERTIFICATE AUTHORITY, CN=BJCA Global Root CA2|C=CN, O=BEIJING CERTIFICATE AUTHORITY, CN=BJCA Global Root CA2|F42786EB6EB86D88316702FBBA66A45300AA7AA6|2019-12-19|2044-12-12|2C17087D642AC0FE85185906CFB44AEB|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Google Trust Services LLC, CN=GTS Root R2|C=US, O=Google Trust Services LLC, CN=GTS Root R2|9A44497632DBDEFAD0BCFB5A7B17BD9E56092494|2016-06-22|2036-06-22|0203E5AEC58D04251AAB1125AA|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=KR, O=NAVER BUSINESS PLATFORM Corp., CN=NAVER Global Root Certification Authority|C=KR, O=NAVER BUSINESS PLATFORM Corp., CN=NAVER Global Root Certification Authority|8F6BF2A9274ADA14A0C4F48E6127F9C01E785DD1|2017-08-18|2037-08-18|0194301EA20BDDF5C5332AB1434471F8D6504D0D|/etc/ssl/certs|Certificate Sign, CRL Sign
C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign ECC Root CA - G3|C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign ECC Root CA - G3|3043FA4FF257DCA0C380EE2E58EA78B23FE6BBC1|2018-02-18|2043-02-18|3CF607A968700EDA8B84|/etc/ssl/certs|Certificate Sign, CRL Sign
C=RO, O=CERTSIGN SA, OU=certSIGN ROOT CA G2|C=RO, O=CERTSIGN SA, OU=certSIGN ROOT CA G2|26F993B4ED3D2827B0B94BA7E9151DA38D92E532|2017-02-06|2042-02-06|110034B64EC6362D36|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Google Trust Services LLC, CN=GTS Root R1|C=US, O=Google Trust Services LLC, CN=GTS Root R1|E58C1CC4913B38634BE9106EE3AD8E6B9DD9814A|2016-06-22|2036-06-22|0203E5936F31B01349886BA217|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=TR, L=Gebze - Kocaeli, O=Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK, OU=Kamu Sertifikasyon Merkezi - Kamu SM, CN=TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1|C=TR, L=Gebze - Kocaeli, O=Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK, OU=Kamu Sertifikasyon Merkezi - Kamu SM, CN=TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1|3143649BECCE27ECED3A3F0B8F0DE4E891DDEECA|2013-11-25|2043-10-25|01|/etc/ssl/certs|Certificate Sign, CRL Sign
C=DE, O=Deutsche Telekom Security GmbH, CN=Telekom Security TLS ECC Root 2020|C=DE, O=Deutsche Telekom Security GmbH, CN=Telekom Security TLS ECC Root 2020|C0F896C5A93B01062107DA184248BCE99D88D5EC|2020-08-25|2045-08-25|363A968CC95CB258CDD0015DC5E55700|/etc/ssl/certs|Certificate Sign, CRL Sign
C=US, O=Google Trust Services LLC, CN=GTS Root R3|C=US, O=Google Trust Services LLC, CN=GTS Root R3|EDE571802BC892B95B833CD232683F09CDA01E46|2016-06-22|2036-06-22|0203E5B882EB20F825276D3D66|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=BE, O=GlobalSign nv-sa, OU=Root CA, CN=GlobalSign Root CA|C=BE, O=GlobalSign nv-sa, OU=Root CA, CN=GlobalSign Root CA|B1BC968BD4F49D622AA89A81F2150152A41D829C|1998-09-01|2028-01-28|040000000001154B5AC394|/etc/ssl/certs|Certificate Sign, CRL Sign
C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS ECC Root CA 2021|C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS ECC Root CA 2021|BCB0C19DE9989270193857E98DA7B45D6EEE0148|2021-02-19|2045-02-13|67749D8D77D83B6ADB22F4FF59E2BFCE|/etc/ssl/certs|Digital Signature, Certificate Sign, CRL Sign
C=FI, O=Telia Finland Oyj, CN=Telia Root CA v2|C=FI, O=Telia Finland Oyj, CN=Telia Root CA v2|B999CDD173508AC44705089C8C88FBBEA02B40CD|2018-11-29|2043-11-29|01675F27D6FE7AE3E4ACBE095B059E|/etc/ssl/certs|Certificate Sign, CRL Sign
