captured: windows Microsoft Windows NT 10.0.26200.0 x64 · bare-metal · 2026-09-07 · SYSTEM · leg-hash pending
== action=list
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
USERTrust ECC Certification Authority|USERTrust ECC Certification Authority|D1CBCA5DB2D52A7F693B674DE5F05A1D0C957DF0|2010-02-01|2038-01-18|5C8B99C55A94C5D27156DECD8980CC26|ROOT|Certificate Signing, CRL Signing
Sectigo Public Code Signing Root R46|Sectigo Public Code Signing Root R46|CCBBF9E1485AF63CE47ABF8E9E648C2504FC319D|2021-03-22|2046-03-21|4B2C3B01018BAD2ABC8C7B5B3EED9057|ROOT|Digital Signature, Certificate Signing, CRL Signing
ISRG Root X1|ISRG Root X1|CABD2A79A1076A31F21D253635CB039D4329A5E8|2015-06-04|2035-06-04|008210CFB0D240E3594463E0BB63828B00|ROOT|Certificate Signing, CRL Signing
SSL.com Root Certification Authority ECC|SSL.com Root Certification Authority ECC|C3197C3924E654AF1BC4AB20957AE2C30E13026A|2016-02-12|2041-02-12|75E6DFCBC1685BA8|ROOT|Digital Signature, Certificate Signing, CRL Signing
ISRG Root X2|ISRG Root X2|BDB1B93CD5978D45C6261455F8DB95C75AD153AF|2020-09-04|2040-09-17|41D29DD172EAEEA780C12C6CE92F8752|ROOT|Certificate Signing, CRL Signing
SSL.com Root Certification Authority RSA|SSL.com Root Certification Authority RSA|B7AB3308D1EA4477BA1480125A6FBDA936490CBB|2016-02-12|2041-02-12|7B2C9BD316803299|ROOT|Digital Signature, Certificate Signing, CRL Signing
Entrust Root Certification Authority|Entrust Root Certification Authority|B31EB1B740E36C8402DADC37D44DF5D4674952F9|2006-11-27|2026-11-27|456B5054|ROOT|Certificate Signing, CRL Signing
GlobalSign Root CA|GlobalSign Root CA|B1BC968BD4F49D622AA89A81F2150152A41D829C|1998-09-01|2028-01-28|040000000001154B5AC394|ROOT|Certificate Signing, CRL Signing
COMODO RSA Certification Authority|COMODO RSA Certification Authority|AFE5D244A8D1194230FF479FE2F897BBCD7A8CB4|2010-01-19|2038-01-18|4CAAF9CADB636FE01FF74ED85B03869D|ROOT|Certificate Signing, CRL Signing
Sectigo Public Server Authentication Root R46|Sectigo Public Server Authentication Root R46|AD98F9F3E47D753B65D482B3A45217BB6EF5E438|2021-03-22|2046-03-21|758DFD8BAE7C0700FAA925A7E1C7AD14|ROOT|Digital Signature, Certificate Signing, CRL Signing
Starfield Class 2 Certification Authority|Starfield Class 2 Certification Authority|AD7E1C28B064EF8F6003402014C3D0E3370EB58A|2004-06-29|2034-06-29|00|ROOT|(none)
DigiCert Global Root CA|DigiCert Global Root CA|A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436|2006-11-10|2031-11-10|083BE056904246B1A1756AC95991C74A|ROOT|Digital Signature, Certificate Signing, CRL Signing
SSL.com TLS ECC Root CA 2022|SSL.com TLS ECC Root CA 2022|9F5FD91A546DF50C71F0EE7ABD1749988473E239|2022-08-25|2046-08-19|1403F5ABFB378B17405BE243B2A5D1C4|ROOT|Digital Signature, Certificate Signing, CRL Signing
Starfield Services Root Certificate Authority - G2|Starfield Services Root Certificate Authority - G2|925A8F8D2C6D04E0665F596AFF22D863E8256F3F|2009-09-01|2037-12-31|00|ROOT|Certificate Signing, CRL Signing
thawte Primary Root CA|thawte Primary Root CA|91C6D6EE3E8AC86384E548C299295C756C817B81|2006-11-17|2036-07-16|344ED55720D5EDEC49F42FCE37DB2B6D|ROOT|Certificate Signing, CRL Signing
Entrust Root Certification Authority - G2|Entrust Root Certification Authority - G2|8CF427FD790C3AD166068DE81E57EFBB932272D4|2009-07-07|2030-12-07|4A538C28|ROOT|Certificate Signing, CRL Signing
Entrust Code Signing Root Certification Authority - CSBR1|Entrust Code Signing Root Certification Authority - CSBR1|897424053A4A887AC098380291034D885C8714B9|2021-05-07|2040-12-30|7FF1A8F9F43AE8876E2DC6FF5E433DB2EE30A643|ROOT|Digital Signature, Certificate Signing, CRL Signing
SecureTrust CA|SecureTrust CA|8782C6C304353BCFD29692D2593E7D44D934FF11|2006-11-07|2029-12-31|0CF08E5C0816A5AD427FF0EB271859D0|ROOT|Digital Signature, Certificate Signing, CRL Signing
GlobalSign|GlobalSign|8094640EB5A7A1CA119C1FDDD59F810263A7FBD1|2014-12-10|2034-12-10|45E6BB038333C3856548E6FF4551|ROOT|Certificate Signing, CRL Signing
DigiCert Global Root G3|DigiCert Global Root G3|7E04DE896A3E666D00E687D33FFAD93BE83D349E|2013-08-01|2038-01-15|055556BCF25EA43535C3A40FD5AB4572|ROOT|Digital Signature, Certificate Signing, CRL Signing
GlobalSign|GlobalSign|75E0ABB6138512271C04F85FDDDE38E4B7242EFE|2006-12-15|2021-12-15|0400000000010F8626E60D|ROOT|Certificate Signing, CRL Signing
SSL.com EV Root Certification Authority RSA R2|SSL.com EV Root Certification Authority RSA R2|743AF0529BD032A0F44A83CDD4BAA97B7C2EC49A|2017-05-31|2042-05-30|56B629CD34BC78F6|ROOT|Digital Signature, Certificate Signing, CRL Signing
Class 3 Public Primary Certification Authority|Class 3 Public Primary Certification Authority|742C3192E607E424EB4549542BE1BBC53E6174E2|1996-01-29|2028-08-01|70BAE41D10D92934B638CA7B03CCBABF|ROOT|(none)
Microsoft RSA Root Certificate Authority 2017|Microsoft RSA Root Certificate Authority 2017|73A5E64A3BFF8316FF0EDCCC618A906E4EAE4D74|2019-12-18|2042-07-18|1ED397095FD8B4B347701EAABE7F45B3|ROOT|Digital Signature, Certificate Signing, CRL Signing
GlobalSign|GlobalSign|6BA0B098E171EF5AADFE4815807710F4BD6F0B28|2012-11-13|2038-01-19|0203E57EF53F93FDA50921B2A6|ROOT|Digital Signature, Certificate Signing, CRL Signing
Thawte Premium Server CA|Thawte Premium Server CA|627F8D7827656399D27D7F9044C9FEB3F33EFA9A|1996-08-01|2020-12-31|01|ROOT|(none)
Certum CA|Certum CA|6252DC40F71143A22FDE9EF7348E064251B18118|2002-06-11|2027-06-11|010020|ROOT|(none)
DigiCert High Assurance EV Root CA|DigiCert High Assurance EV Root CA|5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25|2006-11-10|2031-11-10|02AC5C266A0B409B8F0B79F2AE462577|ROOT|Digital Signature, Certificate Signing, CRL Signing
Security Communication RootCA2|Security Communication RootCA2|5F3B8CF2F810B37D78B4CEEC1919C37334B9C774|2009-05-29|2029-05-29|00|ROOT|Certificate Signing, CRL Signing
DigiCert CS RSA4096 Root G5|DigiCert CS RSA4096 Root G5|5EEED86FA37C675230642F55C84DDBF67CD33C80|2021-01-15|2046-01-14|06CEE131BE6D55C807F7C0C7FB44E620|ROOT|Digital Signature, Certificate Signing, CRL Signing
GlobalSign Root R46|GlobalSign Root R46|53A2B04BCA6BD645E6398A8EC40DD2BF77C3A290|2019-03-20|2046-03-20|11D2BBB9D723189E405F0A9D2DD0DF2567D1|ROOT|Digital Signature, Certificate Signing, CRL Signing
Hotspot 2.0 Trust Root CA - 03|Hotspot 2.0 Trust Root CA - 03|51501FBFCE69189D609CFAF140C576755DCC1FDF|2013-12-08|2043-12-08|0CB30F70F286A433E0B90989DE01EDB7|ROOT|Digital Signature, Certificate Signing, CRL Signing
Entrust.net Certification Authority (2048)|Entrust.net Certification Authority (2048)|503006091D97D4F5AE39F7CBE7927D7D652D3431|1999-12-24|2029-07-24|3863DEF8|ROOT|Certificate Signing, CRL Signing
GlobalSign Code Signing Root R45|GlobalSign Code Signing Root R45|4EFC31460C619ECAE59C1BCE2C008036D94C84B8|2020-03-18|2045-03-18|7653FEAC75464893F5E5D74A483A4EF8|ROOT|Digital Signature, Certificate Signing, CRL Signing
VeriSign Class 3 Public Primary Certification Authority - G5|VeriSign Class 3 Public Primary Certification Authority - G5|4EB6D578499B1CCF5F581EAD56BE3D9B6744A5E5|2006-11-08|2036-07-16|18DAD19E267DE8BB4A2158CDCC6B3B4A|ROOT|Certificate Signing, CRL Signing
Go Daddy Root Certificate Authority - G2|Go Daddy Root Certificate Authority - G2|47BEABC922EAE80E78783462A79F45C254FDE68B|2009-09-01|2037-12-31|00|ROOT|Certificate Signing, CRL Signing
VeriSign Universal Root Certification Authority|VeriSign Universal Root Certification Authority|3679CA35668772304D30A5FB873B0FA77BB70D54|2008-04-02|2037-12-01|401AC46421B31321030EBBE4121AC51D|ROOT|Certificate Signing, CRL Signing
USERTrust RSA Certification Authority|USERTrust RSA Certification Authority|2B8F1B57330DBBA2D07A6C51F70EE90DDAB9AD8E|2010-02-01|2038-01-18|01FD6D30FCA3CA51A81BBC640E35032D|ROOT|Certificate Signing, CRL Signing
Go Daddy Class 2 Certification Authority|Go Daddy Class 2 Certification Authority|2796BAE63F1801E277261BA0D77770028F20EEE4|2004-06-29|2034-06-29|00|ROOT|(none)
QuoVadis Root CA 2 G3|QuoVadis Root CA 2 G3|093C61F38B8BDC7D55DF7538020500E125F5C836|2012-01-12|2042-01-12|445734245B81899B35F2CEB82B3B5BA726F07528|ROOT|Certificate Signing, CRL Signing
Certum Trusted Network CA|Certum Trusted Network CA|07E032E020B72C3F192F0628A2593A19A70F069E|2008-10-22|2029-12-31|0444C0|ROOT|Certificate Signing, CRL Signing
DigiCert Assured ID Root CA|DigiCert Assured ID Root CA|0563B8630D62D75ABBC8AB1E4BDFB5A899B24D43|2006-11-10|2031-11-10|0CE7E0E517D846FE8FE560FC1BF03039|ROOT|Digital Signature, Certificate Signing, CRL Signing
AddTrust External CA Root|AddTrust External CA Root|02FAF3E291435468607857694DF5E45B68851868|2000-05-30|2020-05-30|01|ROOT|Certificate Signing, CRL Signing
Hellenic Academic and Research Institutions RootCA 2015|Hellenic Academic and Research Institutions RootCA 2015|010C0695A6981914FFBF5FC6B0B695EA29E912A6|2015-07-07|2040-06-30|00|ROOT|Certificate Signing, CRL Signing
Starfield Root Certificate Authority - G2|Starfield Root Certificate Authority - G2|B51C067CEE2B0C3DF855AB2D92F4FE39D4E70F0E|2009-09-01|2037-12-31|00|ROOT|Certificate Signing, CRL Signing
Starfield Class 2 Certification Authority|Starfield Class 2 Certification Authority|AD7E1C28B064EF8F6003402014C3D0E3370EB58A|2004-06-29|2034-06-29|00|ROOT|(none)
Root Agency|Root Agency|FEE449EE0E3965A5246F000E87FDE2A065FD89D4|1996-05-28|2039-12-31|06376C00AA00648A11CFB8D4AA5C35F4|CA|(none)
www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign|Class 3 Public Primary Certification Authority|D559A586669B08F46A30A133F8A9ED3D038E2EA8|1997-04-17|2016-10-24|46FCEBBAB4D02F0F926098233F93078F|CA|Certificate Signing, CRL Signing
Microsoft Windows Hardware Compatibility|Microsoft Root Authority|109F1CAED645BB78B3EA2B94C0697C740733031C|1997-10-01|2002-12-31|198B11D13F9A8FFE69A0|CA|(none)
[result_status] UNDECLARED / UNKNOWN / 

== action=details thumbprint=FBD3B2C0991549EC5FB12FA1A994D2E0C32D8057
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
Logitech Inc|DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1|FBD3B2C0991549EC5FB12FA1A994D2E0C32D8057|2025-01-09|2026-01-09|09CFB6DE3AB5124757FFEFDF3759BBF2|ROOT|Digital Signature
[result_status] UNDECLARED / UNKNOWN / 

== action=delete
error|thumbprint parameter required
[result_status] UNDECLARED / UNKNOWN / 
[rc] 1

